days_until_expiry,initial_quantity,shelf_life_days,storage_temp,temp_deviation,spoilage_sensitivity,units_sold,daily_demand,sell_through_rate,remaining_quantity,stock_pressure_ratio,velocity_score,sales_volatility,expiry_pressure_index,price_margin_ratio,category_encoded,region_encoded,is_weekend,is_promoted,handling_score,packaging_score,supplier_score
1,471,6,3.6,2.6,0.9,301,150,0.6390658,170,1.1333333,25.0,0.26,0.56666666,0.54983014,5,4,1,0,7,10,6
5,345,7,3.1,0.9,0.7,345,113,1.0,0,0.0,16.142857,0.47,0.0,0.59386975,2,0,1,0,10,9,8
2,39,5,4.4,3.4,0.9,35,10,0.8974359,4,0.4,2.0,0.48,0.13333334,0.55445546,5,4,0,0,4,10,8
7,484,9,3.5,0.5,0.75,484,58,1.0,0,0.0,6.4444447,0.21,0.0,0.44077834,3,2,0,0,9,10,9
16,182,21,3.0,1.0,0.7,154,8,0.84615386,28,3.5,0.3809524,0.37,0.20588236,0.31940702,2,1,0,0,8,6,6
0,189,2,-2.1,2.1,0.95,189,128,1.0,0,0.0,64.0,0.36,0.0,0.55957377,9,0,0,0,4,6,9
15,150,21,4.7,0.3,0.4,118,10,0.7866667,32,3.2,0.47619048,0.42,0.2,0.5463468,1,4,1,0,10,7,7
17,212,25,5.9,0.9,0.4,199,12,0.9386792,13,1.0833334,0.48,0.4,0.060185187,0.43453512,1,4,1,0,10,10,10
17,200,22,4.9,0.9,0.7,200,17,1.0,0,0.0,0.77272725,0.2,0.0,0.5971223,2,1,0,0,6,6,8
2,471,3,1.6,2.4,0.9,300,210,0.6369427,171,0.8142857,70.0,0.34,0.27142859,0.46091014,8,4,0,0,8,8,6
10,131,15,9.1,1.1,0.6,91,12,0.6946565,40,3.3333333,0.8,0.46,0.3030303,0.5862069,7,4,0,0,8,8,6
297,355,377,6.9,1.9,0.85,237,1,0.66760564,118,118.0,0.0026525198,0.2,0.39597315,0.4388495,6,4,0,0,4,9,6
7,94,11,5.7,2.3,0.6,71,8,0.7553192,23,2.875,0.72727275,0.29,0.359375,0.4229075,7,4,0,0,7,7,9
196,399,270,-18.9,1.1,0.3,0,0,0.0,399,0.22939752,0.0,0.22,0.05210174,0.39964372,4,4,0,0,8,10,7
13,338,17,7.2,0.8,0.6,236,22,0.69822484,102,4.6363635,1.2941177,0.47,0.33116883,0.4390244,7,1,0,0,5,6,8
2,256,6,4.2,0.2,0.75,256,95,1.0,0,0.0,15.833333,0.21,0.0,0.31590414,3,1,1,0,10,10,8
1,171,6,21.9,1.9,0.5,67,48,0.39181286,104,2.1666667,8.0,0.5,1.0833334,0.47402596,0,2,0,0,6,9,9
9,231,16,5.5,2.5,0.6,231,26,1.0,0,0.0,1.625,0.31,0.0,0.5900901,7,4,1,0,9,7,8
4,264,5,7.3,3.3,0.7,263,70,0.9962121,1,0.014285714,14.0,0.16,0.0028571428,0.33093524,2,4,0,0,8,7,8
261,285,339,0.6,4.4,0.85,0,0,0.0,285,0.22939752,0.0,0.44,0.05210174,0.45153174,6,4,0,0,10,10,9
0,140,2,1.5,2.5,0.9,98,115,0.7,42,0.3652174,57.5,0.47,0.3652174,0.31044775,8,2,0,0,10,7,6
1,102,4,21.3,1.3,0.5,102,67,1.0,0,0.0,16.75,0.18,0.0,0.36821705,0,1,1,0,8,9,8
22,191,29,7.7,3.7,0.7,133,9,0.6963351,58,6.4444447,0.31034482,0.15,0.28019324,0.38405797,2,1,1,0,6,10,8
169,58,219,-21.9,1.9,0.3,0,0,0.0,58,0.22939752,0.0,0.37,0.05210174,0.58947366,4,1,0,0,6,8,10
195,282,263,1.4,3.6,0.85,282,3,1.0,0,0.0,0.0114068445,0.3,0.0,0.49923533,6,0,0,0,8,8,9
5,33,6,-0.1,1.1,0.9,33,10,1.0,0,0.0,1.6666666,0.22,0.0,0.5401662,5,4,0,0,6,6,10
5,104,8,4.2,3.2,0.9,104,24,1.0,0,0.0,3.0,0.17,0.0,0.35213032,5,0,1,0,10,5,8
3,489,4,17.9,2.1,0.5,489,216,1.0,0,0.0,54.0,0.1,0.0,0.42688173,0,2,0,0,4,8,10
21,25,23,7.1,2.1,0.4,23,1,0.92,2,2.0,0.04347826,0.29,0.09090909,0.3431694,1,1,0,0,4,9,8
0,455,2,2.0,2.0,0.9,455,353,1.0,0,0.0,176.5,0.37,0.0,0.44111776,8,4,0,0,6,8,9
28,440,30,4.4,0.6,0.4,440,25,1.0,0,0.0,0.8333333,0.19,0.0,0.35526314,1,0,0,0,10,7,8
16,353,20,1.9,3.1,0.4,247,30,0.6997167,106,3.5333333,1.5,0.17,0.20784314,0.41154328,1,0,0,0,10,7,9
13,108,20,5.4,1.4,0.7,108,12,1.0,0,0.0,0.6,0.33,0.0,0.43099272,2,2,1,0,7,7,9
11,260,14,9.1,4.1,0.4,175,16,0.6730769,85,5.3125,1.1428572,0.39,0.44270834,0.32876712,1,0,1,0,10,7,9
10,34,12,12.2,7.2,0.4,0,0,0.0,34,0.22939752,0.0,0.29,0.05210174,0.5723542,1,1,0,0,5,9,8
4,320,5,21.5,1.5,0.5,224,123,0.7,96,0.7804878,24.6,0.27,0.15609756,0.528461,0,0,1,1,9,6,8
294,272,341,-23.9,3.9,0.3,272,3,1.0,0,0.0,0.008797654,0.21,0.0,0.5100671,4,3,0,0,10,5,10
21,439,24,2.9,2.1,0.4,439,24,1.0,0,0.0,1.0,0.42,0.0,0.4501845,1,4,0,0,5,5,9
201,264,270,-22.5,2.5,0.3,0,0,0.0,264,0.22939752,0.0,0.2,0.05210174,0.38930348,4,2,0,0,9,6,6
11,358,12,3.3,0.7,0.75,317,35,0.88547486,41,1.1714286,2.9166667,0.11,0.09761905,0.4078062,3,0,0,1,5,9,9
7,279,9,3.0,1.0,0.75,247,41,0.88530463,32,0.7804878,4.5555553,0.3,0.09756097,0.534,3,1,0,0,7,10,7
42,244,64,3.0,2.0,0.85,244,6,1.0,0,0.0,0.09375,0.31,0.0,0.45704296,6,4,1,0,8,5,6
379,432,484,0.4,4.6,0.85,0,0,0.0,432,0.22939752,0.0,0.47,0.05210174,0.4775003,6,4,0,0,8,5,10
5,408,7,1.5,1.5,0.95,320,79,0.78431374,88,1.113924,11.285714,0.17,0.18565401,0.33017817,9,1,0,0,6,9,6
4,333,7,1.0,1.0,0.95,233,92,0.6996997,100,1.0869565,13.142858,0.24,0.2173913,0.37286112,9,0,0,0,7,6,6
8,52,10,-0.2,1.2,0.9,52,11,1.0,0,0.0,1.1,0.49,0.0,0.44046417,5,4,0,0,8,8,10
7,261,11,3.8,4.2,0.6,185,21,0.70881224,76,3.6190476,1.9090909,0.29,0.45238096,0.59517765,7,1,0,0,6,8,9
2,114,3,2.2,1.8,0.9,79,45,0.69298244,35,0.7777778,15.0,0.37,0.25925925,0.58370787,8,2,0,1,9,9,10
1,419,4,5.1,1.1,0.9,212,178,0.5059666,207,1.1629213,44.5,0.35,0.58146065,0.55592376,8,0,1,0,10,7,8
1,65,6,3.5,4.5,0.6,13,11,0.2,52,4.7272725,1.8333334,0.38,2.3636363,0.5833333,7,1,0,0,9,6,6
2,408,4,-2.1,6.1,0.9,368,172,0.9019608,40,0.23255815,43.0,0.13,0.07751938,0.31575564,8,1,0,1,6,9,9
10,40,11,10.3,2.3,0.6,40,9,1.0,0,0.0,0.8181818,0.11,0.0,0.5704875,7,0,0,1,7,5,6
4,381,8,4.6,3.6,0.9,194,57,0.5091863,187,3.2807016,7.125,0.21,0.6561403,0.32766616,5,3,0,0,6,10,9
1,474,3,10.8,6.8,0.75,387,258,0.8164557,87,0.3372093,86.0,0.32,0.16860466,0.5027027,3,1,0,0,6,7,9
0,489,3,5.7,1.7,0.9,489,313,1.0,0,0.0,104.333336,0.34,0.0,0.48192057,8,1,1,0,5,10,9
0,71,3,-1.8,1.8,0.95,71,32,1.0,0,0.0,10.666667,0.2,0.0,0.43990856,9,2,1,0,8,10,9
6,491,7,-1.6,2.6,0.9,491,98,1.0,0,0.0,14.0,0.23,0.0,0.38937283,5,1,0,0,9,10,9
4,216,4,19.9,0.1,0.5,151,79,0.6990741,65,0.8227848,19.75,0.29,0.16455697,0.42075473,0,3,0,0,10,10,10
79,208,85,6.8,1.8,0.85,208,4,1.0,0,0.0,0.047058824,0.4,0.0,0.44039372,6,1,0,0,10,9,7
1,36,5,0.1,0.9,0.9,12,6,0.33333334,24,4.0,1.2,0.11,2.0,0.4365918,5,2,0,0,8,9,9
7,39,7,5.5,1.5,0.75,22,4,0.5641026,17,4.25,0.5714286,0.1,0.53125,0.4082232,3,1,0,0,5,7,7
208,231,263,-21.3,1.3,0.3,0,0,0.0,231,0.22939752,0.0,0.11,0.05210174,0.4750804,4,4,0,0,4,7,8
3,347,5,7.1,0.9,0.6,320,102,0.9221902,27,0.2647059,20.4,0.11,0.066176474,0.34976152,7,2,0,0,6,6,9
3,148,6,2.4,2.4,0.95,108,34,0.7297297,40,1.1764706,5.6666665,0.32,0.29411766,0.52970797,9,1,0,0,6,8,10
4,454,8,-3.3,4.3,0.9,314,76,0.69162995,140,1.8421053,9.5,0.14,0.36842105,0.5266037,5,4,0,0,5,9,9
2,316,5,3.6,0.4,0.9,216,106,0.6835443,100,0.9433962,21.2,0.22,0.3144654,0.40389973,8,1,0,0,6,9,8
11,359,15,3.6,1.4,0.4,359,33,1.0,0,0.0,2.2,0.29,0.0,0.33995816,1,1,0,0,9,8,8
2,10,5,1.6,1.6,0.95,3,1,0.3,7,7.0,0.2,0.27,2.3333333,0.52736753,9,2,0,0,8,6,10
417,201,619,6.3,1.3,0.85,201,2,1.0,0,0.0,0.0032310179,0.24,0.0,0.4661428,6,1,1,0,7,8,9
3,19,6,0.6,0.4,0.9,9,4,0.47368422,10,2.5,0.6666667,0.39,0.625,0.38354897,5,2,0,0,4,9,6
0,315,4,1.9,2.1,0.9,162,110,0.51428574,153,1.3909091,27.5,0.4,1.3909091,0.40596807,8,1,0,0,10,7,8
2,497,6,6.9,1.1,0.6,416,118,0.8370221,81,0.6864407,19.666666,0.24,0.22881356,0.33424658,7,4,0,0,8,7,7
2,360,3,3.5,3.5,0.95,316,200,0.87777776,44,0.22,66.666664,0.14,0.07333333,0.5286248,9,1,0,0,9,10,9
0,440,1,0.3,3.7,0.9,440,609,1.0,0,0.0,609.0,0.39,0.0,0.5153707,8,0,0,1,7,10,8
6,403,8,1.3,3.7,0.4,403,114,1.0,0,0.0,14.25,0.24,0.0,0.38331318,1,1,0,0,6,7,6
4,461,5,5.1,1.1,0.9,461,123,1.0,0,0.0,24.6,0.12,0.0,0.51424694,8,1,0,0,9,5,8
1,203,2,20.3,0.3,0.5,203,154,1.0,0,0.0,77.0,0.11,0.0,0.5329861,0,3,0,1,4,7,6
271,108,324,-20.5,0.5,0.3,0,0,0.0,108,0.22939752,0.0,0.4,0.05210174,0.3776091,4,1,0,0,5,8,6
3,103,8,1.6,2.4,0.7,103,34,1.0,0,0.0,4.25,0.22,0.0,0.34107402,2,2,1,0,8,9,8
8,152,11,4.6,0.6,0.75,152,19,1.0,0,0.0,1.7272727,0.28,0.0,0.46855983,3,4,1,0,7,7,6
0,90,3,5.4,1.4,0.9,90,38,1.0,0,0.0,12.666667,0.3,0.0,0.52313626,8,1,0,0,8,6,10
4,156,8,7.8,0.2,0.6,40,14,0.25641027,116,8.285714,1.75,0.36,1.6571429,0.4031008,7,2,0,0,10,8,6
2,352,2,21.7,1.7,0.5,246,325,0.6988636,106,0.32615384,162.5,0.26,0.10871795,0.3696581,0,1,0,0,6,10,9
15,366,20,1.1,2.9,0.7,256,33,0.69945353,110,3.3333333,1.65,0.38,0.20833333,0.39084506,2,0,0,0,5,7,10
9,258,13,8.1,3.1,0.4,258,27,1.0,0,0.0,2.0769231,0.13,0.0,0.39657283,1,1,0,0,5,6,8
2,325,6,-0.2,0.2,0.95,280,95,0.86153847,45,0.47368422,15.833333,0.13,0.15789473,0.38253638,9,2,0,0,7,7,7
248,11,316,3.8,1.2,0.85,11,2,1.0,0,0.0,0.006329114,0.21,0.0,0.3899258,6,0,0,1,4,5,10
0,78,1,5.8,1.8,0.9,78,136,1.0,0,0.0,136.0,0.16,0.0,0.5916149,8,0,0,0,10,6,9
1,204,3,3.5,0.5,0.75,116,93,0.5686275,88,0.94623655,31.0,0.2,0.47311828,0.59375,3,3,0,0,7,9,9
7,136,10,6.5,1.5,0.4,136,19,1.0,0,0.0,1.9,0.21,0.0,0.42541435,1,3,0,0,8,8,10
2,366,6,0.7,0.7,0.95,197,91,0.53825134,169,1.8571428,15.166667,0.31,0.61904764,0.30936456,9,2,0,0,9,6,9
132,165,162,6.4,1.4,0.85,165,3,1.0,0,0.0,0.018518519,0.38,0.0,0.44457462,6,2,0,0,5,5,7
9,328,11,6.7,2.7,0.7,229,38,0.6981707,99,2.6052632,3.4545455,0.31,0.26052633,0.45225224,2,1,0,0,10,6,10
10,327,14,7.0,2.0,0.4,189,20,0.57798165,138,6.9,1.4285715,0.32,0.6272727,0.5699482,1,1,0,0,7,7,10
226,292,268,-23.8,3.8,0.3,0,0,0.0,292,0.22939752,0.0,0.39,0.05210174,0.45180023,4,2,0,0,9,8,8
15,131,15,2.0,3.0,0.4,102,7,0.77862597,29,4.142857,0.46666667,0.16,0.25892857,0.3227848,1,2,0,0,6,7,6
12,443,17,7.1,3.1,0.7,443,46,1.0,0,0.0,2.7058823,0.22,0.0,0.5981308,2,0,0,0,8,10,8
171,302,258,3.0,2.0,0.85,302,2,1.0,0,0.0,0.007751938,0.12,0.0,0.49865395,6,2,0,0,8,6,8
206,349,310,-18.8,1.2,0.3,338,2,0.96848136,11,5.5,0.006451613,0.33,0.026570048,0.46778712,4,4,0,0,7,10,9
2,220,3,21.7,1.7,0.5,220,130,1.0,0,0.0,43.333332,0.28,0.0,0.5350993,0,4,1,0,5,7,6
8,368,8,4.8,3.8,0.9,257,64,0.69836956,111,1.734375,8.0,0.23,0.19270833,0.59347826,5,4,0,0,5,7,9
5,320,6,22.8,2.8,0.5,320,102,1.0,0,0.0,17.0,0.18,0.0,0.3580786,0,2,0,0,4,6,8
185,339,210,8.6,3.6,0.85,237,3,0.69911504,102,34.0,0.014285714,0.46,0.1827957,0.562379,6,3,0,0,4,6,10
10,355,17,7.0,2.0,0.4,352,33,0.9915493,3,0.09090909,1.9411764,0.34,0.008264462,0.37856174,1,0,1,0,4,10,9
9,104,13,5.4,1.4,0.7,72,14,0.6923077,32,2.2857144,1.0769231,0.23,0.22857143,0.4699029,2,0,0,0,5,7,9
3,398,7,8.0,0.0,0.6,336,111,0.8442211,62,0.5585586,15.857142,0.23,0.13963965,0.32954547,7,4,0,0,8,10,6
14,399,17,7.6,0.4,0.6,399,46,1.0,0,0.0,2.7058823,0.4,0.0,0.38271606,7,4,1,1,9,5,10
201,174,264,-19.1,0.9,0.3,0,0,0.0,174,0.22939752,0.0,0.2,0.05210174,0.30697128,4,4,0,1,5,6,9
389,364,524,2.2,2.8,0.85,297,1,0.81593406,67,67.0,0.001908397,0.47,0.17179488,0.5123724,6,2,0,0,6,10,10
0,475,2,5.3,1.3,0.9,475,371,1.0,0,0.0,185.5,0.12,0.0,0.57019293,8,2,0,0,5,8,9
3,340,3,20.4,0.4,0.5,340,179,1.0,0,0.0,59.666668,0.17,0.0,0.4729364,0,1,0,0,7,8,8
5,478,7,0.2,3.8,0.75,478,113,1.0,0,0.0,16.142857,0.42,0.0,0.48847926,3,1,0,0,4,9,6
10,316,13,2.5,1.5,0.75,316,41,1.0,0,0.0,3.1538463,0.39,0.0,0.54226476,3,2,0,1,9,10,10
