days_until_expiry,initial_quantity,shelf_life_days,storage_temp,temp_deviation,spoilage_sensitivity,units_sold,daily_demand,sell_through_rate,remaining_quantity,stock_pressure_ratio,velocity_score,sales_volatility,expiry_pressure_index,price_margin_ratio,category_encoded,region_encoded,is_weekend,is_promoted,handling_score,packaging_score,supplier_score,expire_before_sold
3,40,3,4.6,3.4,0.6,40,16,1.0,0,0.0,5.333333333333333,0.46,0.0,0.3904761904761905,7,3,0,0,5,6,9,0
4,488,5,6.9,1.1,0.6,488,130,1.0,0,0.0,26.0,0.24,0.0,0.5599999999999999,7,4,0,0,6,6,10,0
0,226,4,2.0,2.0,0.9,226,84,1.0,0,0.0,21.0,0.14,0.0,0.4712460063897763,8,1,0,1,5,6,9,1
107,108,110,-19.4,0.6,0.3,103,1,0.9537037037037037,5,5.0,0.00909090909090909,0.14,0.046296296296296294,0.566924449732302,4,4,1,0,5,7,6,1
12,236,16,6.2,1.8,0.6,236,25,1.0,0,0.0,1.5625,0.22,0.0,0.3236363636363636,7,4,0,0,7,6,6,0
579,119,583,2.2,2.8,0.85,119,1,1.0,0,0.0,0.0017152658662092624,0.27,0.0,0.4543173740330336,6,2,0,1,6,9,9,0
47,384,61,-17.1,2.9,0.3,384,8,1.0,0,0.0,0.13114754098360656,0.14,0.0,0.3913551401869159,4,4,0,0,5,6,6,1
174,287,188,4.5,0.5,0.85,200,2,0.6968641114982579,87,43.5,0.010638297872340425,0.44,0.24857142857142858,0.426240666639165,6,1,0,0,10,6,9,0
2,39,6,4.1,0.1,0.7,20,7,0.5128205128205128,19,2.7142857142857144,1.1666666666666667,0.45,0.9047619047619048,0.44057193923145666,2,0,0,0,7,5,9,1
94,301,100,2.2,2.8,0.85,301,5,1.0,0,0.0,0.05,0.29,0.0,0.3175069961580421,6,1,0,0,10,7,9,0
2,143,5,6.9,1.1,0.6,98,42,0.6853146853146853,45,1.0714285714285714,8.4,0.41,0.35714285714285715,0.5060483870967741,7,0,0,0,6,6,10,1
7,171,10,8.2,0.2,0.6,171,34,1.0,0,0.0,3.4,0.44,0.0,0.5105263157894737,7,4,1,1,6,9,10,0
4,188,4,-1.3,2.3,0.9,131,84,0.6968085106382979,57,0.6785714285714286,21.0,0.21,0.13571428571428573,0.5601851851851851,5,0,1,0,6,10,9,0
1,344,5,1.8,0.8,0.9,158,80,0.45930232558139533,186,2.325,16.0,0.45,1.1625,0.30354033662217067,5,0,0,0,4,6,8,1
252,390,336,3.8,1.2,0.85,0,0,0.0,390,0.22939751380118353,0.0,0.4,0.05210173733804476,0.3330774062958052,6,1,1,0,4,10,10,1
594,145,649,4.4,0.6,0.85,0,0,0.0,145,0.22939751380118353,0.0,0.38,0.05210173733804476,0.4097063478107965,6,4,0,0,4,8,6,1
81,76,124,3.8,1.2,0.85,76,1,1.0,0,0.0,0.008064516129032258,0.21,0.0,0.5,6,1,0,1,8,9,8,0
2,462,6,23.7,3.7,0.5,343,134,0.7424242424242424,119,0.8880597014925373,22.333333333333332,0.1,0.2960199004975124,0.5774647887323944,0,1,0,0,8,8,8,1
4,470,6,0.0,0.0,0.95,329,148,0.7,141,0.9527027027027027,24.666666666666668,0.39,0.19054054054054054,0.5078616352201258,9,4,1,1,9,7,6,0
9,327,12,1.9,2.1,0.7,228,51,0.6972477064220184,99,1.9411764705882353,4.25,0.34,0.19411764705882353,0.47785977859778594,2,3,0,0,6,10,8,0
0,486,3,1.6,1.6,0.95,486,221,1.0,0,0.0,73.66666666666667,0.17,0.0,0.5004255319148936,9,1,0,0,10,7,8,1
89,245,115,-22.4,2.4,0.3,160,2,0.6530612244897959,85,42.5,0.017391304347826087,0.23,0.4722222222222222,0.3544973544973545,4,0,0,0,6,7,10,1
4,45,6,4.4,0.4,0.75,35,8,0.7777777777777778,10,1.25,1.3333333333333333,0.35,0.25,0.5167014613778705,3,0,0,0,7,7,9,1
4,307,5,16.1,3.9,0.5,307,100,1.0,0,0.0,20.0,0.33,0.0,0.5216417910447761,0,1,0,0,9,5,9,0
2,69,5,17.3,2.7,0.5,34,15,0.4927536231884058,35,2.3333333333333335,3.0,0.24,0.7777777777777778,0.30508474576271183,0,1,0,0,7,6,6,1
57,361,82,-19.6,0.4,0.3,361,8,1.0,0,0.0,0.0975609756097561,0.44,0.0,0.35795454545454547,4,1,0,0,6,6,7,0
6,168,13,9.5,1.5,0.6,121,16,0.7202380952380952,47,2.9375,1.2307692307692308,0.46,0.41964285714285715,0.5099337748344371,7,2,0,0,5,9,9,1
138,356,211,-19.7,0.3,0.3,101,1,0.28370786516853935,255,255.0,0.004739336492890996,0.22,1.8345323741007193,0.31780055917986955,4,1,1,1,9,9,9,1
2,320,5,-0.2,0.2,0.95,272,124,0.85,48,0.3870967741935484,24.8,0.5,0.12903225806451613,0.3643852978453739,9,4,1,0,6,7,8,1
11,386,13,3.4,0.6,0.75,270,44,0.6994818652849741,116,2.6363636363636362,3.3846153846153846,0.39,0.2196969696969697,0.31237590999338183,3,2,0,0,10,5,10,0
1,394,6,-3.0,3.0,0.95,167,86,0.42385786802030456,227,2.63953488372093,14.333333333333334,0.21,1.319767441860465,0.3544117647058823,9,0,0,1,9,5,9,1
5,445,9,6.6,1.4,0.6,445,118,1.0,0,0.0,13.11111111111111,0.23,0.0,0.4575645756457565,7,1,1,1,5,7,7,0
2,345,6,0.1,0.9,0.9,172,87,0.4985507246376812,173,1.9885057471264367,14.5,0.26,0.6628352490421455,0.5265278710543989,5,3,1,0,10,8,10,1
21,247,29,6.1,2.1,0.7,247,18,1.0,0,0.0,0.6206896551724138,0.36,0.0,0.3914342629482071,2,2,0,0,7,8,8,0
16,496,19,4.7,0.7,0.7,496,38,1.0,0,0.0,2.0,0.18,0.0,0.42171717171717177,2,3,0,0,4,10,9,0
13,253,20,1.5,3.5,0.4,202,15,0.7984189723320159,51,3.4,0.75,0.23,0.24285714285714285,0.3769063180827887,1,1,0,1,5,9,6,1
21,235,27,5.6,0.6,0.4,235,12,1.0,0,0.0,0.4444444444444444,0.5,0.0,0.5289115646258503,1,4,0,0,9,7,9,0
6,206,7,0.2,0.8,0.9,144,32,0.6990291262135923,62,1.9375,4.571428571428571,0.49,0.2767857142857143,0.5552193645990923,5,2,0,1,7,7,8,1
2,436,5,-1.4,1.4,0.95,305,141,0.6995412844036697,131,0.9290780141843972,28.2,0.24,0.30969267139479906,0.5812202852614896,9,4,0,0,9,8,8,1
52,395,70,-18.8,1.2,0.3,395,12,1.0,0,0.0,0.17142857142857143,0.27,0.0,0.4938875305623472,4,3,0,0,5,8,10,0
138,182,172,-17.9,2.1,0.3,127,3,0.6978021978021978,55,18.333333333333332,0.01744186046511628,0.23,0.13189448441247,0.5916134913400182,4,2,1,0,10,6,8,0
83,349,125,-18.1,1.9,0.3,0,0,0.0,349,0.22939751380118353,0.0,0.43,0.05210173733804476,0.42247433819557006,4,0,0,0,7,10,7,1
4,242,9,2.3,1.7,0.7,113,30,0.4669421487603306,129,4.3,3.3333333333333335,0.4,0.86,0.5021739130434782,2,1,0,0,9,5,7,1
6,36,7,3.4,0.6,0.75,36,8,1.0,0,0.0,1.1428571428571428,0.31,0.0,0.3752362948960302,3,4,0,0,7,7,9,0
12,20,13,4.7,0.7,0.75,20,2,1.0,0,0.0,0.15384615384615385,0.22,0.0,0.5401966454598034,3,1,1,0,8,6,7,0
4,198,4,6.0,2.0,0.9,198,71,1.0,0,0.0,17.75,0.45,0.0,0.5230769230769231,8,1,0,1,6,8,9,0
1,356,3,-1.0,1.0,0.95,241,199,0.6769662921348315,115,0.5778894472361809,66.33333333333333,0.34,0.2889447236180904,0.506145251396648,9,1,0,0,6,9,10,1
80,71,98,-20.4,0.4,0.3,71,3,1.0,0,0.0,0.030612244897959183,0.44,0.0,0.4198863636363636,4,1,1,0,8,5,8,0
1,225,4,1.8,2.2,0.9,126,104,0.56,99,0.9519230769230769,26.0,0.48,0.47596153846153844,0.5961251862891207,8,2,1,0,9,8,9,1
17,343,27,2.6,2.4,0.4,246,15,0.717201166180758,97,6.466666666666667,0.5555555555555556,0.49,0.3592592592592593,0.37956204379562053,1,4,1,1,9,8,10,1
2,435,5,21.6,1.6,0.5,304,135,0.6988505747126437,131,0.9703703703703703,27.0,0.48,0.3234567901234568,0.3442622950819672,0,1,0,0,6,8,10,1
5,259,10,3.7,2.7,0.9,181,32,0.6988416988416989,78,2.4375,3.2,0.32,0.40625,0.5023505708529215,5,4,0,0,5,10,7,1
8,107,13,7.9,0.1,0.6,107,18,1.0,0,0.0,1.3846153846153846,0.23,0.0,0.44580777096114516,7,1,0,0,5,8,8,0
8,415,10,3.0,2.0,0.9,415,77,1.0,0,0.0,7.7,0.24,0.0,0.4525669642857143,5,3,0,1,9,5,10,0
10,293,17,4.7,0.7,0.7,293,31,1.0,0,0.0,1.8235294117647058,0.33,0.0,0.48958333333333337,2,2,0,0,4,8,8,0
322,71,368,3.7,1.3,0.85,71,1,1.0,0,0.0,0.002717391304347826,0.1,0.0,0.5245576883666917,6,3,0,0,4,10,6,0
7,399,8,8.7,0.7,0.6,399,81,1.0,0,0.0,10.125,0.14,0.0,0.4217687074829932,7,1,0,0,7,6,10,0
189,283,228,8.1,3.1,0.85,198,1,0.6996466431095406,85,85.0,0.0043859649122807015,0.46,0.4473684210526316,0.5957071449573654,6,2,0,0,7,10,6,1
4,62,6,-0.1,0.1,0.95,62,19,1.0,0,0.0,3.1666666666666665,0.39,0.0,0.3740506329113924,9,3,1,1,7,9,10,0
17,451,20,7.1,3.1,0.7,315,36,0.6984478935698448,136,3.7777777777777777,1.8,0.42,0.20987654320987653,0.5244635193133047,2,4,0,1,9,8,8,0
14,86,19,-0.2,5.2,0.4,86,6,1.0,0,0.0,0.3157894736842105,0.33,0.0,0.5838068181818181,1,2,0,0,8,10,10,1
0,277,1,5.6,1.6,0.9,193,360,0.6967509025270758,84,0.23333333333333334,360.0,0.36,0.23333333333333334,0.5320680628272251,8,1,0,0,5,5,9,1
306,388,361,-19.8,0.2,0.3,0,0,0.0,388,0.22939751380118353,0.0,0.48,0.05210173733804476,0.4167862266857962,4,4,0,0,5,5,10,1
3,48,6,0.4,0.6,0.9,42,12,0.875,6,0.5,2.0,0.46,0.125,0.547911547911548,5,0,0,1,5,9,9,1
4,154,7,0.2,0.2,0.95,154,57,1.0,0,0.0,8.142857142857142,0.17,0.0,0.5135722041259501,9,0,1,0,7,8,8,0
8,341,15,1.0,4.0,0.4,238,60,0.6979472140762464,103,1.7166666666666666,4.0,0.22,0.19074074074074074,0.43703703703703706,1,3,0,0,6,5,9,0
1,481,2,-0.4,0.4,0.95,360,394,0.7484407484407485,121,0.30710659898477155,197.0,0.1,0.15355329949238578,0.35276482345103266,9,3,0,0,6,10,8,1
5,262,7,20.7,0.7,0.5,194,54,0.7404580152671756,68,1.2592592592592593,7.714285714285714,0.24,0.20987654320987656,0.4498245614035088,0,3,0,0,5,8,10,0
13,355,20,8.0,3.0,0.4,155,16,0.43661971830985913,200,12.5,0.8,0.18,0.8928571428571429,0.5725,1,2,0,0,6,7,9,1
0,479,3,3.0,1.0,0.9,479,221,1.0,0,0.0,73.66666666666667,0.35,0.0,0.4046762589928057,8,1,0,0,6,5,8,1
4,353,7,18.4,1.6,0.5,247,70,0.6997167138810199,106,1.5142857142857142,10.0,0.32,0.3028571428571428,0.5,0,2,0,0,8,9,10,1
3,242,9,0.0,1.0,0.9,129,41,0.5330578512396694,113,2.7560975609756095,4.555555555555555,0.3,0.6890243902439024,0.43488481429243064,5,1,0,0,6,5,10,1
1,221,4,2.8,1.8,0.9,156,84,0.7058823529411765,65,0.7738095238095238,21.0,0.24,0.3869047619047619,0.4374655647382919,5,2,0,0,6,10,7,1
15,291,24,4.7,0.7,0.7,203,23,0.697594501718213,88,3.8260869565217392,0.9583333333333334,0.18,0.2391304347826087,0.5385416666666667,2,0,1,0,8,10,6,0
2,169,5,-1.1,1.1,0.95,127,57,0.7514792899408284,42,0.7368421052631579,11.4,0.4,0.24561403508771928,0.38701091296247003,9,1,0,1,10,5,9,1
109,88,125,6.0,1.0,0.85,88,1,1.0,0,0.0,0.008,0.46,0.0,0.40569657615112165,6,4,0,0,10,9,6,0
10,206,15,5.2,0.2,0.4,108,10,0.5242718446601942,98,9.8,0.6666666666666666,0.34,0.890909090909091,0.4354430379746836,1,0,0,0,8,7,10,1
4,146,5,9.9,1.9,0.6,102,70,0.6986301369863014,44,0.6285714285714286,14.0,0.32,0.12571428571428572,0.363905325443787,7,4,1,0,8,7,6,0
14,292,23,2.6,1.4,0.7,160,15,0.547945205479452,132,8.8,0.6521739130434783,0.41,0.5866666666666667,0.49661705006765894,2,4,0,0,9,6,6,1
191,32,223,4.3,0.7,0.85,32,3,1.0,0,0.0,0.013452914798206279,0.5,0.0,0.36732148425319616,6,1,1,1,8,10,10,0
3,267,9,3.2,0.8,0.75,160,55,0.599250936329588,107,1.9454545454545455,6.111111111111111,0.31,0.4863636363636364,0.5892040256175664,3,0,0,0,9,8,10,1
3,455,4,1.1,2.9,0.9,318,218,0.6989010989010989,137,0.6284403669724771,54.5,0.28,0.15711009174311927,0.5576923076923077,8,2,0,0,8,5,6,0
3,449,4,0.6,0.6,0.95,340,160,0.7572383073496659,109,0.68125,40.0,0.13,0.1703125,0.3443825910931175,9,4,0,0,7,6,9,0
390,481,529,5.5,0.5,0.85,336,1,0.6985446985446986,145,145.0,0.001890359168241966,0.35,0.37084398976982097,0.4107513491075135,6,0,0,1,7,6,9,1
3,472,5,20.0,0.0,0.5,422,127,0.8940677966101694,50,0.3937007874015748,25.4,0.17,0.0984251968503937,0.39124839124839117,0,1,0,0,8,6,9,1
9,299,14,3.5,0.5,0.7,299,41,1.0,0,0.0,2.9285714285714284,0.26,0.0,0.4393063583815029,2,2,0,0,5,10,6,0
3,128,6,-2.8,2.8,0.95,99,27,0.7734375,29,1.0740740740740742,4.5,0.38,0.26851851851851855,0.4252177205603938,9,0,0,0,6,10,9,1
26,236,28,4.2,0.8,0.4,236,9,1.0,0,0.0,0.32142857142857145,0.48,0.0,0.5525606469002695,1,3,0,0,5,6,8,1
6,257,9,3.3,0.7,0.75,164,36,0.6381322957198443,93,2.5833333333333335,4.0,0.46,0.36904761904761907,0.4845360824742268,3,3,0,0,9,5,8,1
3,212,8,-0.6,1.6,0.9,122,32,0.5754716981132075,90,2.8125,4.0,0.45,0.703125,0.3511029411764707,5,1,0,0,10,9,8,1
5,407,7,19.7,0.3,0.5,385,94,0.9459459459459459,22,0.23404255319148937,13.428571428571429,0.29,0.03900709219858156,0.32891660171473114,0,1,0,0,8,10,10,0
8,347,10,8.8,0.8,0.6,347,45,1.0,0,0.0,4.5,0.39,0.0,0.3832752613240418,7,0,0,0,6,8,8,0
7,77,7,3.8,3.8,0.95,77,13,1.0,0,0.0,1.8571428571428572,0.28,0.0,0.49079089924160346,9,4,0,0,6,8,6,0
4,266,5,1.3,0.3,0.9,186,72,0.6992481203007519,80,1.1111111111111112,14.4,0.4,0.22222222222222224,0.4904571682201509,5,1,0,0,6,7,8,0
4,48,5,20.5,0.5,0.5,42,10,0.875,6,0.6,2.0,0.43,0.12,0.45987158908507225,0,3,0,0,5,7,6,1
3,17,7,-0.1,0.1,0.95,9,3,0.5294117647058824,8,2.6666666666666665,0.42857142857142855,0.29,0.6666666666666666,0.3627496516488621,9,4,1,0,6,8,8,1
2,65,4,16.2,3.8,0.5,47,28,0.7230769230769231,18,0.6428571428571429,7.0,0.12,0.2142857142857143,0.3175728920409771,0,3,0,0,4,10,10,1
17,247,20,7.9,0.1,0.6,214,13,0.8663967611336032,33,2.5384615384615383,0.65,0.42,0.14102564102564102,0.40867992766726946,7,0,0,0,8,9,9,1
0,130,3,20.1,0.1,0.5,130,84,1.0,0,0.0,28.0,0.42,0.0,0.5652173913043478,0,0,1,0,5,8,8,1
299,436,409,9.9,4.9,0.85,305,5,0.6995412844036697,131,26.2,0.012224938875305624,0.3,0.08733333333333333,0.4035281146637266,6,3,0,0,4,10,10,0
5,447,8,4.6,0.4,0.4,312,86,0.697986577181208,135,1.569767441860465,10.75,0.38,0.26162790697674415,0.3153153153153153,1,2,1,0,6,6,9,1
7,495,11,4.6,0.6,0.75,329,63,0.6646464646464646,166,2.634920634920635,5.7272727272727275,0.22,0.32936507936507936,0.3091603053435115,3,2,0,0,4,9,10,1
16,74,27,4.9,0.1,0.4,59,3,0.7972972972972973,15,5.0,0.1111111111111111,0.49,0.29411764705882354,0.5271411338962605,1,1,1,0,10,5,7,1
0,315,2,1.7,2.3,0.9,315,290,1.0,0,0.0,145.0,0.35,0.0,0.36363636363636365,8,2,1,1,8,6,6,1
6,17,9,6.3,2.3,0.7,17,4,1.0,0,0.0,0.4444444444444444,0.14,0.0,0.5923344947735192,2,1,0,0,8,8,9,0
2,68,3,5.5,1.5,0.75,47,44,0.6911764705882353,21,0.4772727272727273,14.666666666666666,0.44,0.1590909090909091,0.47313691507798955,3,4,0,0,5,9,7,0
3,411,4,2.6,1.6,0.9,411,260,1.0,0,0.0,65.0,0.28,0.0,0.5867837724801338,5,2,1,0,8,10,9,0
58,374,61,3.2,1.8,0.85,374,7,1.0,0,0.0,0.11475409836065574,0.36,0.0,0.5676016956796248,6,0,1,0,5,9,10,0
24,290,26,7.8,2.8,0.4,290,17,1.0,0,0.0,0.6538461538461539,0.4,0.0,0.40952380952380957,1,2,1,0,8,6,10,0
3,68,7,1.2,2.8,0.75,36,10,0.5294117647058824,32,3.2,1.4285714285714286,0.1,0.8,0.36227544910179643,3,2,0,0,5,6,9,1
352,222,470,6.2,1.2,0.85,155,2,0.6981981981981982,67,33.5,0.00425531914893617,0.27,0.09490084985835694,0.463931318987624,6,2,0,0,10,6,6,0
5,57,7,5.4,4.4,0.9,40,8,0.7017543859649122,17,2.125,1.1428571428571428,0.14,0.3541666666666667,0.3501577287066246,5,4,0,0,7,7,10,1
89,353,126,-22.0,2.0,0.3,214,2,0.6062322946175638,139,69.5,0.015873015873015872,0.32,0.7722222222222223,0.4313827032625582,4,2,0,1,8,8,10,1
9,269,9,-0.1,1.1,0.9,269,34,1.0,0,0.0,3.7777777777777777,0.42,0.0,0.5688888888888889,5,1,0,0,4,10,9,0
8,303,10,8.2,0.2,0.6,212,75,0.6996699669966997,91,1.2133333333333334,7.5,0.29,0.13481481481481483,0.37254901960784303,7,3,0,0,9,7,8,0
18,400,20,7.0,1.0,0.6,400,46,1.0,0,0.0,2.3,0.4,0.0,0.5166666666666667,7,1,1,0,5,5,8,0
3,25,3,16.9,3.1,0.5,20,7,0.8,5,0.7142857142857143,2.3333333333333335,0.43,0.17857142857142858,0.3793103448275862,0,1,1,0,8,10,10,1
3,176,9,1.1,0.1,0.9,83,18,0.4715909090909091,93,5.166666666666667,2.0,0.16,1.2916666666666667,0.5067484662576688,5,3,0,0,10,7,6,1
0,236,2,1.9,2.1,0.9,236,180,1.0,0,0.0,90.0,0.44,0.0,0.5752212389380531,8,1,0,0,7,8,9,1
238,155,272,-19.1,0.9,0.3,155,2,1.0,0,0.0,0.007352941176470588,0.1,0.0,0.47079037800687284,4,1,0,0,7,6,9,0
2,114,3,2.2,1.8,0.9,79,45,0.6929824561403509,35,0.7777777777777778,15.0,0.37,0.25925925925925924,0.5837078651685393,8,2,0,1,9,9,10,1
1,99,4,23.1,3.1,0.5,74,39,0.7474747474747475,25,0.6410256410256411,9.75,0.27,0.32051282051282054,0.3761904761904762,0,2,1,1,5,7,9,1
1,19,3,-1.6,1.6,0.95,17,13,0.8947368421052632,2,0.15384615384615385,4.333333333333333,0.22,0.07692307692307693,0.5873652544497368,9,2,1,1,9,5,10,1
19,68,25,4.4,0.6,0.4,67,4,0.9852941176470589,1,0.25,0.16,0.29,0.0125,0.47526041666666663,1,1,0,0,6,10,10,0
206,233,295,-18.4,1.6,0.3,0,0,0.0,233,0.22939751380118353,0.0,0.17,0.05210173733804476,0.5677888989990901,4,2,1,0,10,6,9,1
3,49,4,1.5,2.5,0.9,29,13,0.5918367346938775,20,1.5384615384615385,3.25,0.2,0.38461538461538464,0.36675126903553296,8,3,0,0,5,9,6,1
503,340,552,5.5,0.5,0.85,340,1,1.0,0,0.0,0.0018115942028985507,0.24,0.0,0.3125539723661485,6,4,0,0,4,9,6,0
4,48,4,2.6,2.6,0.95,48,14,1.0,0,0.0,3.5,0.41,0.0,0.3718887262079063,9,1,0,0,9,8,9,0
1,175,5,-3.2,3.2,0.95,102,56,0.5828571428571429,73,1.3035714285714286,11.2,0.18,0.6517857142857143,0.30418370556778856,9,1,0,0,10,6,10,1
7,190,10,4.4,0.4,0.75,190,24,1.0,0,0.0,2.4,0.14,0.0,0.42244224422442245,3,0,1,0,6,6,8,1
481,452,492,5.5,0.5,0.85,316,1,0.6991150442477876,136,136.0,0.0020325203252032522,0.31,0.2821576763485477,0.576977316729211,6,2,0,0,5,6,6,0
3,31,9,2.6,1.6,0.9,13,3,0.41935483870967744,18,6.0,0.3333333333333333,0.29,1.5,0.37832225913621254,5,3,0,0,4,10,8,1
11,62,17,2.5,2.5,0.4,62,8,1.0,0,0.0,0.47058823529411764,0.1,0.0,0.5825545171339563,1,0,0,0,7,9,9,0
11,278,13,1.4,2.6,0.75,278,31,1.0,0,0.0,2.3846153846153846,0.19,0.0,0.3026599568655644,3,0,0,0,9,8,9,0
337,36,411,6.0,1.0,0.85,36,1,1.0,0,0.0,0.0024330900243309003,0.48,0.0,0.39631867287901285,6,3,0,0,5,7,6,0
8,474,11,4.6,0.6,0.75,331,68,0.6983122362869199,143,2.1029411764705883,6.181818181818182,0.29,0.23366013071895425,0.40268931351733905,3,1,0,0,4,7,8,0
5,210,5,4.5,0.5,0.9,210,102,1.0,0,0.0,20.4,0.34,0.0,0.3902161547212741,8,3,1,0,4,6,8,0
3,434,4,0.7,0.7,0.95,434,162,1.0,0,0.0,40.5,0.13,0.0,0.3990548700446312,9,4,0,0,7,6,6,0
332,119,463,3.6,1.4,0.85,0,0,0.0,119,0.22939751380118353,0.0,0.46,0.05210173733804476,0.545897516504244,6,2,1,0,6,8,7,1
2,404,5,4.5,0.5,0.75,404,142,1.0,0,0.0,28.4,0.37,0.0,0.5695322376738307,3,2,1,0,4,10,8,1
620,93,707,5.6,0.6,0.85,93,2,1.0,0,0.0,0.002828854314002829,0.11,0.0,0.48701629327902246,6,4,0,0,10,7,9,0
0,237,3,-1.4,1.4,0.95,237,108,1.0,0,0.0,36.0,0.21,0.0,0.38407821229050276,9,0,0,0,10,10,6,1
2,357,2,7.7,3.7,0.9,357,309,1.0,0,0.0,154.5,0.2,0.0,0.542089552238806,8,4,0,0,9,8,10,0
3,138,4,4.9,0.9,0.9,138,48,1.0,0,0.0,12.0,0.14,0.0,0.5583657587548638,8,3,0,0,8,9,9,0
19,400,22,1.6,2.4,0.7,400,37,1.0,0,0.0,1.6818181818181819,0.26,0.0,0.5147478591817317,2,4,0,0,6,8,9,0
0,486,3,1.3,1.3,0.95,486,283,1.0,0,0.0,94.33333333333333,0.35,0.0,0.3346415489272632,9,2,1,0,6,8,9,1
13,24,21,2.1,1.9,0.7,0,0,0.0,24,0.22939751380118353,0.0,0.15,0.05210173733804476,0.48786610878661085,2,2,1,0,7,9,10,1
6,366,8,5.6,1.6,0.75,366,56,1.0,0,0.0,7.0,0.43,0.0,0.3516209476309226,3,1,1,0,7,7,7,1
2,290,5,2.3,2.3,0.95,260,76,0.896551724137931,30,0.39473684210526316,15.2,0.49,0.13157894736842105,0.34974241556954777,9,2,0,0,7,8,7,1
3,416,3,2.4,1.6,0.9,416,245,1.0,0,0.0,81.66666666666667,0.38,0.0,0.4733096085409253,8,4,0,0,6,8,9,0
4,159,4,5.9,1.9,0.9,159,44,1.0,0,0.0,11.0,0.24,0.0,0.38461538461538464,8,0,0,0,4,10,9,0
145,194,183,-19.2,0.8,0.3,194,1,1.0,0,0.0,0.00546448087431694,0.29,0.0,0.5741626794258373,4,0,0,0,4,6,8,1
1,139,3,2.6,1.6,0.9,72,59,0.5179856115107914,67,1.1355932203389831,19.666666666666668,0.25,0.5677966101694916,0.30547713156408807,5,0,0,0,4,6,7,1
15,180,16,7.8,3.8,0.7,125,25,0.6944444444444444,55,2.2,1.5625,0.37,0.1375,0.37962962962962965,2,1,1,0,5,5,9,0
2,103,4,-0.5,0.5,0.95,103,55,1.0,0,0.0,13.75,0.36,0.0,0.45653646421314065,9,4,1,0,4,10,6,0
0,171,2,-1.5,1.5,0.95,171,196,1.0,0,0.0,98.0,0.19,0.0,0.3343171451569628,9,1,1,0,5,7,7,1
2,34,5,18.2,1.8,0.5,23,9,0.6764705882352942,11,1.2222222222222223,1.8,0.22,0.40740740740740744,0.3409090909090909,0,0,0,0,9,10,9,1
5,105,9,2.4,1.6,0.75,69,16,0.6571428571428571,36,2.25,1.7777777777777777,0.36,0.375,0.48426150121065376,3,3,0,0,7,5,6,1
13,431,15,4.8,0.2,0.4,431,83,1.0,0,0.0,5.533333333333333,0.37,0.0,0.4182509505703422,1,1,1,1,7,9,6,0
1,228,2,0.7,0.7,0.95,228,233,1.0,0,0.0,116.5,0.27,0.0,0.4193381592554291,9,2,1,0,6,9,8,0
